source,author,title,review_text,rating,bank
Apple,S.i albalushi,Language!!,"How to change the language I couldn’t find any option !
Please provide me how to",1,Bank Dhofar
Apple,malak meem,Bad,24 ساعه يتعذر التحويل وكله أخطاء,1,Bank Dhofar
Apple,أنا فلسطين,الرجاء التعديل,"البرنامج شكلياً جميل و لكن عملياً معقد 
القبلي اكثر سلاسه و سهوله !!
الى الان ما عرفت اغير اللغه بحثت كل مكان
مع ان هالشي مفروض ف قسم ""الضبط"" اول خانه !!!",2,Bank Dhofar
Apple,الاسد007,👍🏻,99%,4,Bank Dhofar
Apple,Ibrahim AlBadi,التنبيهات,تنبيهات الدخول لا يمكن الغائهن,2,Bank Dhofar
Apple,ام الزيين_,معقد وايد وكل الحسابات الي معي انحذفت ما عرفت اتصرف فيه رجعو التطبيق القبلي ابرك,معقد,1,Bank Dhofar
Apple,Mohdreda1958,التحديث,برنامج معقد اعتقد السابق كان اسهل ومرن,3,Bank Dhofar
Apple,Joseph__0xfffffff,A huge dislike for the new app,What a freaking stupid app. Get us the old version now!!!!’n,1,Bank Dhofar
Apple,kajsiwnhk,رجعو التطبيق القديم تطبيق سيىء,تحديث سيء جدا رجعو التطبيق القديم ولا بنغير بنك ثاني,1,Bank Dhofar
Apple,سيسرون بن سعيد,نرجو حل الاشكال,"ما رضى يفتح في الايفون برو فتح في البداية وحاليا توقف .. تعطلت
عملتم تحديث ومازال الاشكال موجود",1,Bank Dhofar
Apple,omann443,لايعمل,بنك مسقط والرب حافظ,1,Bank Dhofar
Apple,طيب؟,اتمنى تعملوا على تعديل اللغة العربية,وين اللغة العربية بالتطبيق !!؟ المفروض بكون في خيار تغيير اللغة التطبيق سيئ,2,Bank Dhofar
Apple,ولد شناص,لا يعمل معي البرنامج بنك ظفار,لا يعمل معي البرنامج بنك ظفار,1,Bank Dhofar
Apple,jmajmahs,الشرقيه,الله لاجزاكم خير انتو ويا هتحديث لي يفقع الكبد,1,Bank Dhofar
Apple,N.Abu-Ali,اللغة العربية,هل  استطيع ان اغير اللغة الانجليزية الى اللغة العربية؟,5,Bank Dhofar
Apple,umroza,نهاد,للاسف البرنامج الجديد محى اي حسابات موجودة بالبرنامج القديم معنى ذلك اننا نرجع من الاول نضيف الحسابات مرة اخرى للاسف الشديد,2,Bank Dhofar
Apple,zairallayl,لا يدعم الغة العربية,لا يدعم الغه العربية,3,Bank Dhofar
Google,A Google user,,all too difficult. bb,1,Bank Dhofar
Google,Anish Yadav,,I love this app,5,Bank Dhofar
Google,HisHighness Abdulla,,I noted your apologies but what happend after ? I feel guilty for opned a account in sohar international. back office service so.bad they are taking 3 to 4 weeks time for small paper work. after complaints there is not replay of emails....,1,Bank Dhofar
Google,Jamila Alharthi,,ممتازة,5,Bank Dhofar
Google,Md.Jumman Bepari,,"dear sohar international bank please add the mobile number change option in this apps,",1,Bank Dhofar
Google,Arvind Kumar Choudhary,,very good aap,5,Bank Dhofar
Google,Janet Atieno,,went to the bank to change the new number since the number I used first is not active but still I can't access my account without OTP number which is being send in the old number this is draining 😭.,1,Bank Dhofar
Google,Paripelli Rupesh,,good,5,Bank Dhofar
Google,Deepak Yadav,,very good,5,Bank Dhofar
Google,bangla desh,,nice app,5,Bank Dhofar
Google,Waleed Albarwani,,"dear sohar bank team, Will you clarify why all the time the app dose not work? I just had enough I am moving to bank muscat instead..in critical times we want to transfer through the app and it say maintenance or doesn't work at all..",1,Bank Dhofar
Google,Muhamad Rafeek,,"Sohar Bank is improved a lot within the last year and achieved international standards. As an indian, i have experienced many benefits like there's no service fee for the international transfer to India and will be credited instantly , faster than any other bank in Oman. The mob app of Sohar bank is excellent, very easy and user friendly. The beneficieries via mob app can be added with minimum details and avtivated immediately.",5,Bank Dhofar
Google,MUFEED RAHMAN.A,,still this bank services 1950 year . to much take time if need any service from Branch,1,Bank Dhofar
Google,Ayman Zadjali,,"1 star for there's no option for changing mobile number like bank muscat, I visited 2 times sohar international branch Souq Al Seeb but there staff are too busy they was dealing with 1 customer 2 hours I waited for them 3 hours but they didn't have time they are tooo slow, imagine I was waiting 3 hours for only changing the mobile number, If sohar international improve this option in application I'm going to thank them",1,Bank Dhofar
Google,Sabe Mirza,,very impressed 👏,5,Bank Dhofar
Google,Hajer Belochi,,not user friendly,1,Bank Dhofar
Google,Durga Ghimire,,Good,5,Bank Dhofar
Google,Vishal Manakkattu,,"Terrible. This is the worst banking app I have ever used. Whenever I need to log in, it takes too much time to load the login interface. The login time is also very slow. Transactions are also very slow. It needs to learn from other banking app developers in Oman. For example, Bank Muscat takes only seconds to log in and complete other transactions.",2,Bank Dhofar
Google,AGUSTIN SHAJI T,,good app,5,Bank Dhofar
Google,Parag V,,"App not responding most of the times. Frequent issues. Cannot use the app after latest udpate on WiFi, works only on mobile data",1,Bank Dhofar
Google,Thai lover lover,,اواجه مشكلة اليوم في التطبيق ولا يمكنني التسجيل او إرسال الاموال,5,Bank Dhofar
Google,Naresh Ravi,,"I'm unable to recharge the Friendi or Oordee number via Sohar Bank app, please check the number, please fix.",3,Bank Dhofar
Google,Muhammad Kaleemullah,,All Good but colour not suitable for day in app colour,5,Bank Dhofar
Google,Omar faruk,,nice,5,Bank Dhofar
