source,author,title,review_text,rating,bank
Apple,Snakeye10000,International transfer,Been asking for the last 3 month to rectify the glitch in the app for international transfer. Very bad response. Still waiting,1,Sohar International
Apple,يوسف الشعيلي,التطبيق ما عليه كلام,اعجبني سلاسة و سرعة و البساطة في اتمام المعاملات بس حاجه وحدة ناقصنه لو يضيفو البطاقة الالكترونية اي الدفع عن طريق التطبيق في المحلات و نتمنى لكم التوفيق و التطور,5,Sohar International
Apple,K Siyabi,Update the Layout,"I am facing  troubles while using the app. The new update iOS 16 isn’t friendly with your app. Kindly , improve the layout to go along with the new update .",2,Sohar International
Apple,Zakiya Al Amri,One of the Best,"There is a lot of enhancements and functionalities within the App. I’m happy I can extract my Banking Statement in PDF.

Looking for more enhancements and services.",5,Sohar International
Apple,Al raisi-oman,Paying through app using virtual card,Need to see option in sohar app that customers can pay any transactions through app by scanning digital card in sohar app . Most of banks in GCC they are using it . No need to use your actual cards only though digital card through app.,3,Sohar International
Apple,wafaa8989,Wafaa8989,Very smooth and helpful app,5,Sohar International
Apple,Shakil Al Balushi,Excellent and easy use app,Smooth and comprehensive app covering most important transactions and activities,5,Sohar International
Google,A Google user,,all too difficult. bb,1,Sohar International
Google,Anish Yadav,,I love this app,5,Sohar International
Google,HisHighness Abdulla,,I noted your apologies but what happend after ? I feel guilty for opned a account in sohar international. back office service so.bad they are taking 3 to 4 weeks time for small paper work. after complaints there is not replay of emails....,1,Sohar International
Google,Jamila Alharthi,,ممتازة,5,Sohar International
Google,Md.Jumman Bepari,,"dear sohar international bank please add the mobile number change option in this apps,",1,Sohar International
Google,Arvind Kumar Choudhary,,very good aap,5,Sohar International
Google,Janet Atieno,,went to the bank to change the new number since the number I used first is not active but still I can't access my account without OTP number which is being send in the old number this is draining 😭.,1,Sohar International
Google,Paripelli Rupesh,,good,5,Sohar International
Google,Deepak Yadav,,very good,5,Sohar International
Google,bangla desh,,nice app,5,Sohar International
Google,Waleed Albarwani,,"dear sohar bank team, Will you clarify why all the time the app dose not work? I just had enough I am moving to bank muscat instead..in critical times we want to transfer through the app and it say maintenance or doesn't work at all..",1,Sohar International
Google,Muhamad Rafeek,,"Sohar Bank is improved a lot within the last year and achieved international standards. As an indian, i have experienced many benefits like there's no service fee for the international transfer to India and will be credited instantly , faster than any other bank in Oman. The mob app of Sohar bank is excellent, very easy and user friendly. The beneficieries via mob app can be added with minimum details and avtivated immediately.",5,Sohar International
Google,MUFEED RAHMAN.A,,still this bank services 1950 year . to much take time if need any service from Branch,1,Sohar International
Google,Ayman Zadjali,,"1 star for there's no option for changing mobile number like bank muscat, I visited 2 times sohar international branch Souq Al Seeb but there staff are too busy they was dealing with 1 customer 2 hours I waited for them 3 hours but they didn't have time they are tooo slow, imagine I was waiting 3 hours for only changing the mobile number, If sohar international improve this option in application I'm going to thank them",1,Sohar International
Google,Sabe Mirza,,very impressed 👏,5,Sohar International
Google,Hajer Belochi,,not user friendly,1,Sohar International
Google,Durga Ghimire,,Good,5,Sohar International
Google,Vishal Manakkattu,,"Terrible. This is the worst banking app I have ever used. Whenever I need to log in, it takes too much time to load the login interface. The login time is also very slow. Transactions are also very slow. It needs to learn from other banking app developers in Oman. For example, Bank Muscat takes only seconds to log in and complete other transactions.",2,Sohar International
Google,AGUSTIN SHAJI T,,good app,5,Sohar International
Google,Parag V,,"App not responding most of the times. Frequent issues. Cannot use the app after latest udpate on WiFi, works only on mobile data",1,Sohar International
Google,Thai lover lover,,اواجه مشكلة اليوم في التطبيق ولا يمكنني التسجيل او إرسال الاموال,5,Sohar International
Google,Naresh Ravi,,"I'm unable to recharge the Friendi or Oordee number via Sohar Bank app, please check the number, please fix.",3,Sohar International
Google,Muhammad Kaleemullah,,All Good but colour not suitable for day in app colour,5,Sohar International
Google,Omar faruk,,nice,5,Sohar International
Google,Muhammad Asif,,super Service and best Bank .,5,Sohar International
Google,BILAL KHAN,,my app is not working automatically stops. what is the issue.,2,Sohar International
Google,ali ali,,good,3,Sohar International
Google,Salim Al Hajri,,"It's stuck and not able to open the app. It's so useless and very inconvenient . Always, there's a glitch",1,Sohar International
Google,Sam Kigozi s.,,"I changed phones and I have called the customer service team but they have not helped they say i reinstall app, which i have done twice but can't work. so for several days i cant transact. its awful",1,Sohar International
Google,Imran Jutt,,sir please Also include the method for changing the mobile number. add your mobile app,2,Sohar International
Google,Muzaffar Jamil,,there should be an option to update mobile number,4,Sohar International
Google,Fariborz Mansour-Ghanaei,,This application has problems such as freezing and not being able to log in easily.,5,Sohar International
Google,Sharif Rocke,,Nice,5,Sohar International
Google,Pintu Sheikh,,very good,4,Sohar International
Google,Sourav Barua,,nice one👍,5,Sohar International
Google,Haider Al Lawati,,Great Bank and App!,5,Sohar International
Google,GURUDAS SHANBHAG,,superrrrrr,4,Sohar International
Google,Abdul Jabbar,,Excellent,5,Sohar International
Google,Muhammad Murshid,,Not working,1,Sohar International
Google,Odiaka Uzorka,,Very nice app,5,Sohar International
Google,Osam Alawi,,"OTP received after 3 to 5 minutes and sometimes never If you do transactions over the weekend(eg from Bank Muscat to SIB via IBFT) Account never updated many other issues.. with this bank Hence go from worst to bad, try Bank Muscat",1,Sohar International
Google,Amr Abulmaged,,"The bank app has new features I'm not recommended at all. Don't ever think of using the app for flight booking. That's my experience. Took almost a week to get a ticket, even the payment done immediately after submission. Awful experience",1,Sohar International
Google,Fakrul Islam,,Good,5,Sohar International
Google,sreekutty t.s,,"Am satisfied with app, especially international &gcc transaction but cannot make payment to the nri account",5,Sohar International
Google,XAVIER MARIYADAS,,EXLANNT,5,Sohar International
Google,Shaikh Mohammad Nadeem,,Great and so easy to work and any transaction I loved it,5,Sohar International
Google,Hamburg Castle,,This is great apps and bunk,5,Sohar International
Google,MAHENDRAN SEEMAAN,,Still lot of issues facing this app! Even debit card show bad card! Wrost experience then ever!,1,Sohar International
Google,Zunair Jutt,,Nice,5,Sohar International
Google,Deepu krishna K,,"I cant transfer fund to india, option for india in beneficiary is not showing",1,Sohar International
Google,om prakash,,excellent service 💯,5,Sohar International
Google,ayub raja,,Very good,5,Sohar International
Google,ROMMAN AHMED,,Good,5,Sohar International
Google,Shahnoor Mehr,,Excellent Banking,5,Sohar International
Google,Raees Pcv,,Good app,5,Sohar International
Google,Sourav,,"Initially the service was good to grasp customers. But recently it is noted that they are recruiting under experienced staffs for customer service who don't or unable to answer most of the queries. The response they provide is raise it in the App and it will be resolved. When I raise it app, I get a response contact the bank for support. If this is the response for every query is raise then what is the requirement to have a customer service???",2,Sohar International
Google,Rashid Ali,,Good,3,Sohar International
Google,Islampur Gaibandha,,"It's very bad experience, When i gonna opn the apps it's automaticly crush.",3,Sohar International
Google,Mohamed Hassan Soorow,,I'm interested,5,Sohar International
Google,Khalid Al Maamari,,"Great app saves me a lot of time, and I can do all banking services through it.",5,Sohar International
Google,Basharat Ali,,Good service,5,Sohar International
Google,Harikeshsingh Yadav,,Very good app and banking sohar international best in Oman okay 👍,5,Sohar International
