store,title,review,rating,date,bank_name
Apple,Worst app,"Whatâ€™s this!! Half of the time the app is not accessible, this is very irritating!! This is a sign that I have to change the bank",,2024-01-05T01:21:17-07:00,Bank Dhofar
Apple,Very bad application,Very bad application and laggy,,2023-11-21T01:37:22-07:00,Bank Dhofar
Apple,Feedback,Ø§ÙˆÙ„ Ù…Ø±Ù‡ Ø§Ø´ÙˆÙ� Ø¨Ø±Ù†Ø§Ù…Ø¬ Ø²Ø¨Ø§Ù„Ù‡ Ù„Ø°ÙŠ Ø§Ù„Ø¯Ø±Ø¬Ù‡,,2023-11-15T20:54:36-07:00,Bank Dhofar
Apple,Ø³Ø³,ÙŠØ§Ø®ÙŠ Ø§Ù„ØªØ·Ø¨ÙŠÙ‚ Ù…Ùˆ Ø±Ø§Ø¶ÙŠ ÙŠØ­ÙˆÙ„ Ù�Ù„ÙˆØ³ ÙˆÙ„Ø§ ÙŠØ³ÙˆÙŠ Ø´ÙŠ Ø­Ù„ÙˆØ§ Ø§Ù„Ù…Ø´ÙƒÙ„Ø©,,2023-11-04T03:16:01-07:00,Bank Dhofar
Apple,Personal shortcuts not working,Personal shortcuts page is not working There is a problem with the application,,2023-10-21T05:30:30-07:00,Bank Dhofar
Apple,Dosent work properly,bad app,,2023-10-20T13:14:27-07:00,Bank Dhofar
Apple,ØºÙŠØ± Ø¬ÙŠØ¯,Ù„ÙŠØ´ Ù…Ø§Ø´ÙŠ Ù„ØºØ© Ø¹Ø±Ø¨ÙŠØ© Ù�ÙŠ ØªØ·Ø¨ÙŠÙ‚,,2023-10-07T09:03:44-07:00,Bank Dhofar
Apple,ØªØ§Ø±ÙŠØ® Ø§Ù†ØªÙ‡Ø§Ø¡ Ø§Ù„Ù‚Ø±Ø¶ Ù…Ø§Ù…ÙˆØ¬ÙˆØ¯,Ù�Ø§Ù„ØªØ·Ø¨ÙŠÙ‚ Ø§Ù„Ù‚Ø¯Ù… ÙƒØ§Ù† Ù…ÙˆØ¬ÙˆØ¯ Ù�ÙŠ Ù‡Ø°Ø§ ØºÙŠØ± Ù…ÙˆØ¬ÙˆØ¯ ÙˆÙƒØ«Ø± Ø®Ø¯Ù…Ø§Øª Ù…Ø§Ù…ÙˆØ¬ÙˆØ¯Ù‡ Ù†Ø­Ø¯Ø«Ù‡ ÙƒØ°Ø§ Ø¨Ø³ Ù�Ø§Ù„Ù�Ø§Ø¶ÙŠ Ù…Ø§ÙŠØ²ÙŠØ¯ Ø´ÙŠ Ù†Ø®Ø³Ø± Ù�Ù„ÙˆØ³ Ø¨Ø³,,2023-09-01T04:21:32-07:00,Bank Dhofar
Apple,Getting errors and previous version was better,Often facing issues with the application I need to process a transaction & getting error message etc,,2023-07-26T13:24:12-07:00,Bank Dhofar
Apple,Ù„Ø§ÙŠÙˆØ¬Ø¯ Ù„ØºØ© Ø¹Ø±Ø¨ÙŠØ©,Ø£Ø³ÙˆØ£ Ø¨Ø±Ù†Ø§Ù…Ø¬ Ø¨Ù†ÙƒÙŠ Ø¹Ù„Ù‰ Ø§Ù„Ø§Ø·Ù„Ø§Ù‚ ØŒ Ø­Ø³Ù†Ùˆ Ø§Ù„Ø¨Ø±Ù†Ø§Ù…Ø¬ Ù‚Ø¨Ù„ Ù„Ø§ Ù†Ù„ØºÙŠ Ø­Ø³Ø§Ø¨Ø§ØªÙ†Ø§ Ù…Ù† Ø¨Ù†ÙƒÙƒÙ… Ù†Ù‡Ø§Ø¦ÙŠØ§ ğŸ˜’ğŸ˜’,,2023-06-29T01:31:27-07:00,Bank Dhofar
Apple,Ø§Ø³ÙˆØ¡ Ø´ÙŠ,Ø³ÙŠØ¦ Ùˆ Ø¯ÙˆÙ…Ù‡ Ù…Ø¹Ù„Ù‚,,2023-06-22T06:57:38-07:00,Bank Dhofar
Apple,Crush,"The app keeps on crushing, unable to login. No QAQC what so ever.",,2023-06-22T06:36:13-07:00,Bank Dhofar
Apple,Ù‹,ÙˆØ´ Ø°Ø§ Ø§Ù„ØªØ·Ø¨ÙŠÙ‚ Ø§Ù„Ø®Ø§ÙŠØ³,,2023-05-16T07:30:28-07:00,Bank Dhofar
Apple,Most of the time not working,"Very bad application, most of the time not working even after the latest update",,2023-02-26T07:53:53-07:00,Bank Dhofar
Apple,Ø§Ø³ÙˆØ§Ø¡ Ø¨Ø±Ù†Ø§Ù…Ø¬ Ø¨Ù†ÙƒÙŠ Ù� Ø¹Ù…Ø§Ù† (Ø¨Ø¹Ø¯ Ø§Ù„ØªØ­Ø¯ÙŠØ«)Ø§Ù„ØªØ­ÙˆÙŠÙ„ Ø§Ù„Ù�ÙˆØ±ÙŠ Ù„Ø§ ÙŠØ¹Ù…Ù„ ÙˆØªÙ… Ø¹Ù…Ù„ Ø¨Ù„Ø§Øº Ø¨Ø¯ÙˆÙ† Ø§Ø³ØªØ¬Ø§Ø¨Ø© Ù„Ù„Ø§Ø³Ù�,Ø§Ø³ÙˆØ§Ø¡ Ø¨Ø±Ù†Ø§Ù…Ø¬ Ø¨Ù†ÙƒÙŠ Ù� Ø¹Ù…Ø§Ù† (Ø¨Ø¹Ø¯ Ø§Ù„ØªØ­Ø¯ÙŠØ«)Ø§Ù„ØªØ­ÙˆÙŠÙ„ Ø§Ù„Ù�ÙˆØ±ÙŠ Ù„Ø§ ÙŠØ¹Ù…Ù„ ÙˆØªÙ… Ø¹Ù…Ù„ Ø¨Ù„Ø§Øº Ø¨Ø¯ÙˆÙ† Ø§Ø³ØªØ¬Ø§Ø¨Ø© Ù„Ù„Ø§Ø³Ù�,,2023-02-03T00:15:23-07:00,Bank Dhofar
Apple,Unable to use the app,Please check ur app,,2023-01-19T00:52:47-07:00,Bank Dhofar
Apple,Doesnâ€™t work,Very bad app doesnâ€™t allow me to login and canâ€™t fix it with call center etc.,,2023-01-19T00:48:46-07:00,Bank Dhofar
Apple,Language!!,"How to change the language I couldnâ€™t find any option !
Please provide me how to",,2023-01-17T01:32:20-07:00,Bank Dhofar
Apple,Bad,24 Ø³Ø§Ø¹Ù‡ ÙŠØªØ¹Ø°Ø± Ø§Ù„ØªØ­ÙˆÙŠÙ„ ÙˆÙƒÙ„Ù‡ Ø£Ø®Ø·Ø§Ø¡,,2023-01-01T01:44:50-07:00,Bank Dhofar
Apple,Ø§Ù„Ø±Ø¬Ø§Ø¡ Ø§Ù„ØªØ¹Ø¯ÙŠÙ„,"Ø§Ù„Ø¨Ø±Ù†Ø§Ù…Ø¬ Ø´ÙƒÙ„ÙŠØ§Ù‹ Ø¬Ù…ÙŠÙ„ Ùˆ Ù„ÙƒÙ† Ø¹Ù…Ù„ÙŠØ§Ù‹ Ù…Ø¹Ù‚Ø¯ 
Ø§Ù„Ù‚Ø¨Ù„ÙŠ Ø§ÙƒØ«Ø± Ø³Ù„Ø§Ø³Ù‡ Ùˆ Ø³Ù‡ÙˆÙ„Ù‡ !!
Ø§Ù„Ù‰ Ø§Ù„Ø§Ù† Ù…Ø§ Ø¹Ø±Ù�Øª Ø§ØºÙŠØ± Ø§Ù„Ù„ØºÙ‡ Ø¨Ø­Ø«Øª ÙƒÙ„ Ù…ÙƒØ§Ù†
Ù…Ø¹ Ø§Ù† Ù‡Ø§Ù„Ø´ÙŠ Ù…Ù�Ø±ÙˆØ¶ Ù� Ù‚Ø³Ù… ""Ø§Ù„Ø¶Ø¨Ø·"" Ø§ÙˆÙ„ Ø®Ø§Ù†Ù‡ !!!",,2022-12-29T22:37:35-07:00,Bank Dhofar
Apple,ğŸ‘�ğŸ�»,99%,,2022-12-27T05:55:16-07:00,Bank Dhofar
Apple,Ø§Ù„ØªÙ†Ø¨ÙŠÙ‡Ø§Øª,ØªÙ†Ø¨ÙŠÙ‡Ø§Øª Ø§Ù„Ø¯Ø®ÙˆÙ„ Ù„Ø§ ÙŠÙ…ÙƒÙ† Ø§Ù„ØºØ§Ø¦Ù‡Ù†,,2022-12-23T06:17:42-07:00,Bank Dhofar
Apple,Ù…Ø¹Ù‚Ø¯ ÙˆØ§ÙŠØ¯ ÙˆÙƒÙ„ Ø§Ù„Ø­Ø³Ø§Ø¨Ø§Øª Ø§Ù„ÙŠ Ù…Ø¹ÙŠ Ø§Ù†Ø­Ø°Ù�Øª Ù…Ø§ Ø¹Ø±Ù�Øª Ø§ØªØµØ±Ù� Ù�ÙŠÙ‡ Ø±Ø¬Ø¹Ùˆ Ø§Ù„ØªØ·Ø¨ÙŠÙ‚ Ø§Ù„Ù‚Ø¨Ù„ÙŠ Ø§Ø¨Ø±Ùƒ,Ù…Ø¹Ù‚Ø¯,,2022-12-23T05:18:36-07:00,Bank Dhofar
Apple,Ø§Ù„ØªØ­Ø¯ÙŠØ«,Ø¨Ø±Ù†Ø§Ù…Ø¬ Ù…Ø¹Ù‚Ø¯ Ø§Ø¹ØªÙ‚Ø¯ Ø§Ù„Ø³Ø§Ø¨Ù‚ ÙƒØ§Ù† Ø§Ø³Ù‡Ù„ ÙˆÙ…Ø±Ù†,,2022-12-21T10:42:15-07:00,Bank Dhofar
Apple,A huge dislike for the new app,What a freaking stupid app. Get us the old version now!!!!â€™n,,2022-12-21T07:57:06-07:00,Bank Dhofar
Apple,Ø±Ø¬Ø¹Ùˆ Ø§Ù„ØªØ·Ø¨ÙŠÙ‚ Ø§Ù„Ù‚Ø¯ÙŠÙ… ØªØ·Ø¨ÙŠÙ‚ Ø³ÙŠÙ‰Ø¡,ØªØ­Ø¯ÙŠØ« Ø³ÙŠØ¡ Ø¬Ø¯Ø§ Ø±Ø¬Ø¹Ùˆ Ø§Ù„ØªØ·Ø¨ÙŠÙ‚ Ø§Ù„Ù‚Ø¯ÙŠÙ… ÙˆÙ„Ø§ Ø¨Ù†ØºÙŠØ± Ø¨Ù†Ùƒ Ø«Ø§Ù†ÙŠ,,2022-12-20T04:16:12-07:00,Bank Dhofar
Apple,Ù†Ø±Ø¬Ùˆ Ø­Ù„ Ø§Ù„Ø§Ø´ÙƒØ§Ù„,"Ù…Ø§ Ø±Ø¶Ù‰ ÙŠÙ�ØªØ­ Ù�ÙŠ Ø§Ù„Ø§ÙŠÙ�ÙˆÙ† Ø¨Ø±Ùˆ Ù�ØªØ­ Ù�ÙŠ Ø§Ù„Ø¨Ø¯Ø§ÙŠØ© ÙˆØ­Ø§Ù„ÙŠØ§ ØªÙˆÙ‚Ù� .. ØªØ¹Ø·Ù„Øª
Ø¹Ù…Ù„ØªÙ… ØªØ­Ø¯ÙŠØ« ÙˆÙ…Ø§Ø²Ø§Ù„ Ø§Ù„Ø§Ø´ÙƒØ§Ù„ Ù…ÙˆØ¬ÙˆØ¯",,2022-12-19T20:37:15-07:00,Bank Dhofar
Apple,Ù„Ø§ÙŠØ¹Ù…Ù„,Ø¨Ù†Ùƒ Ù…Ø³Ù‚Ø· ÙˆØ§Ù„Ø±Ø¨ Ø­Ø§Ù�Ø¸,,2022-12-16T03:28:07-07:00,Bank Dhofar
Apple,Ø§ØªÙ…Ù†Ù‰ ØªØ¹Ù…Ù„ÙˆØ§ Ø¹Ù„Ù‰ ØªØ¹Ø¯ÙŠÙ„ Ø§Ù„Ù„ØºØ© Ø§Ù„Ø¹Ø±Ø¨ÙŠØ©,ÙˆÙŠÙ† Ø§Ù„Ù„ØºØ© Ø§Ù„Ø¹Ø±Ø¨ÙŠØ© Ø¨Ø§Ù„ØªØ·Ø¨ÙŠÙ‚ !!ØŸ Ø§Ù„Ù…Ù�Ø±ÙˆØ¶ Ø¨ÙƒÙˆÙ† Ù�ÙŠ Ø®ÙŠØ§Ø± ØªØºÙŠÙŠØ± Ø§Ù„Ù„ØºØ© Ø§Ù„ØªØ·Ø¨ÙŠÙ‚ Ø³ÙŠØ¦,,2022-12-11T15:26:56-07:00,Bank Dhofar
Apple,Ù„Ø§ ÙŠØ¹Ù…Ù„ Ù…Ø¹ÙŠ Ø§Ù„Ø¨Ø±Ù†Ø§Ù…Ø¬ Ø¨Ù†Ùƒ Ø¸Ù�Ø§Ø±,Ù„Ø§ ÙŠØ¹Ù…Ù„ Ù…Ø¹ÙŠ Ø§Ù„Ø¨Ø±Ù†Ø§Ù…Ø¬ Ø¨Ù†Ùƒ Ø¸Ù�Ø§Ø±,,2022-12-11T08:20:15-07:00,Bank Dhofar
Apple,Ø§Ù„Ø´Ø±Ù‚ÙŠÙ‡,Ø§Ù„Ù„Ù‡ Ù„Ø§Ø¬Ø²Ø§ÙƒÙ… Ø®ÙŠØ± Ø§Ù†ØªÙˆ ÙˆÙŠØ§ Ù‡ØªØ­Ø¯ÙŠØ« Ù„ÙŠ ÙŠÙ�Ù‚Ø¹ Ø§Ù„ÙƒØ¨Ø¯,,2022-12-10T05:49:33-07:00,Bank Dhofar
Apple,Ø§Ù„Ù„ØºØ© Ø§Ù„Ø¹Ø±Ø¨ÙŠØ©,Ù‡Ù„  Ø§Ø³ØªØ·ÙŠØ¹ Ø§Ù† Ø§ØºÙŠØ± Ø§Ù„Ù„ØºØ© Ø§Ù„Ø§Ù†Ø¬Ù„ÙŠØ²ÙŠØ© Ø§Ù„Ù‰ Ø§Ù„Ù„ØºØ© Ø§Ù„Ø¹Ø±Ø¨ÙŠØ©ØŸ,,2022-12-08T12:45:14-07:00,Bank Dhofar
Apple,Ù†Ù‡Ø§Ø¯,Ù„Ù„Ø§Ø³Ù� Ø§Ù„Ø¨Ø±Ù†Ø§Ù…Ø¬ Ø§Ù„Ø¬Ø¯ÙŠØ¯ Ù…Ø­Ù‰ Ø§ÙŠ Ø­Ø³Ø§Ø¨Ø§Øª Ù…ÙˆØ¬ÙˆØ¯Ø© Ø¨Ø§Ù„Ø¨Ø±Ù†Ø§Ù…Ø¬ Ø§Ù„Ù‚Ø¯ÙŠÙ… Ù…Ø¹Ù†Ù‰ Ø°Ù„Ùƒ Ø§Ù†Ù†Ø§ Ù†Ø±Ø¬Ø¹ Ù…Ù† Ø§Ù„Ø§ÙˆÙ„ Ù†Ø¶ÙŠÙ� Ø§Ù„Ø­Ø³Ø§Ø¨Ø§Øª Ù…Ø±Ø© Ø§Ø®Ø±Ù‰ Ù„Ù„Ø§Ø³Ù� Ø§Ù„Ø´Ø¯ÙŠØ¯,,2022-12-07T02:08:28-07:00,Bank Dhofar
Apple,Ù„Ø§ ÙŠØ¯Ø¹Ù… Ø§Ù„ØºØ© Ø§Ù„Ø¹Ø±Ø¨ÙŠØ©,Ù„Ø§ ÙŠØ¯Ø¹Ù… Ø§Ù„ØºÙ‡ Ø§Ù„Ø¹Ø±Ø¨ÙŠØ©,,2022-12-05T08:24:11-07:00,Bank Dhofar
Apple,Ø¹Ø·Ù„ Ù�Ù†ÙŠ,"Ø®Ø¯Ù…Ø© ÙˆÙŠØ³ØªØ± ÙŠÙˆÙ†ÙŠÙˆÙ† ØºÙŠØ± Ø´ØºØ§Ù„Ø©.. Ø§Ù„Ø¨Ø±Ù†Ø§Ù…Ø¬ ÙŠØ­ØªØ§Ø¬Ù„Ù‡ ÙˆÙ‚Øª Ù„Ø­Ø¯ Ù…Ø§ ÙŠÙ�ØªØ­. 
Ø±Ø¬Ø¹ÙˆØ§ Ø§Ù„Ø¨Ø±Ù†Ø§Ù…Ø¬ Ø§Ù„Ù‚Ø¯ÙŠÙ… .. Ø´ÙƒÙ„ÙŠØ§ Ø§Ù„Ø¬Ø¯ÙŠØ¯ Ø§Ø­Ù„Ù‰ ÙˆØ§Ù�Ø¶Ù„ Ø¨Ø³ Ø¹Ù…Ù„ÙŠØ§Ù‹ ØµÙ�Ø±.",,2022-12-01T00:09:45-07:00,Bank Dhofar
Apple,Super,"Application now is super wow, way better the Bank Muscat and Sohar applications. Keep it upğŸ‘�",,2022-11-28T02:08:37-07:00,Bank Dhofar
Apple,Ù„Ø§ ÙŠØ¹Ù…Ù„,Ø§Ù„Ø¨Ø±Ù†Ø§Ù…Ø¬ Ù�ÙŠÙ‡ ØªØ¹Ù„ÙŠÙ‚ ÙˆÙ„Ø§ ÙŠÙ�ØªØ­,,2022-11-23T04:04:47-07:00,Bank Dhofar
Apple,The program is not working,The program is not working,,2022-11-23T01:49:25-07:00,Bank Dhofar
