source,author,title,review_text,rating,bank
Apple,fufufufu67FU,سرعة البرنامج,اخيراً قررتوا تعدلوا البرنامج صار اسرع واوضح واتمنى تتطوروا دايما يعني وما تطبقوا,3,Bank Muscat
Apple,Momomatchi,Problem!,"When I try to transfer money to someone using their phone number, I cannot find the option for this service. Only the account number field is required, and the mobile number payment option is not available. What is the issue?",1,Bank Muscat
Apple,خالد الشجيبي,صلالة ظفار صحنوت,يحتاج إلى المزيد من تطور مثل سحب بدون بطاقة و وتحكم في سقف البطاقة. و سقف للأجهزة نقاط البيع,3,Bank Muscat
Apple,MasterAladdin,Awful,"Almost for a month in a year this app doesn’t work, sometimes it just says session ended the moment I log in.",1,Bank Muscat
Apple,Najamali771,New app Update,Will the old bank muscat app Was great the theme was perfect even the old bank muscat support the face id To avoid to type the password the new app didn’t showing the face id login  thnks,2,Bank Muscat
Apple,T2IMR,تفعيل جهاز جديد,جهازي قديم ويظهر ع انه جديد وطبقت كل شي قلتوه وما انحلت المشكلة مازالت موجوده من ٥ شهور ، ف بنتقل ل بنك ثاني,1,Bank Muscat
Apple,shathan21,Improvement,Need more improvement,1,Bank Muscat
Apple,Malak Ahmed Abdullah,Balance update,"With the old app, the available balance would update automatically after transferring funds. However, with the new app, the balance remains unchanged, which may give the impression that the transfer was unsuccessful. Please investigate this issue. That said, the overall look and feel of the new app are excellent.",3,Bank Muscat
Apple,Akash 19,Good,But need mony deposide option life insurance,5,Bank Muscat
Apple,amer994656,تاخير إضافة المستفيد,البنك الوحيد في عمان اللذي يتاخر في تفعيل المستفيد,1,Bank Muscat
Apple,Sameh alhosni,التحديث الاخير,"للاسف التطبيق صار غير عملي 👎🏻،
صحيح الواجهة صارت مرتبة وجميلة، ولكن عشان تشوف المبالغ في حساباتك لازم تدخل على كل واحد وبعدها تضغط على العين، وكان من الواجهة تقدر تعرف كم معك في كل حساب.",1,Bank Muscat
Apple,H580s,التطبيق ماقدر اسجل فيه الدخول,ايش السبب ماعرف,1,Bank Muscat
Google,Md Shajal,,nice facility,5,Bank Muscat
Google,Sajid Khan,,Excellent bank,5,Bank Muscat
Google,Aminul Islam,,Easy to use. Very helpful app.,5,Bank Muscat
Google,Shahzad Ali,,good,5,Bank Muscat
Google,Hira Manik,,good apps,5,Bank Muscat
Google,AR Wazit Rohman Rony Munshi,,Varry Good App,5,Bank Muscat
Google,Abdulrasheed Abdulqadri,,absolutely excellent app with very simple English,5,Bank Muscat
Google,Arash Shirzad,,"When I try to register my new android device, after clicking on sending sms, the app keeps crashing. I cannot register my new device and have access to my accounts due to this error. I am using a ""Mi"" phone with the latest android OS. Please address this issue in an update.",4,Bank Muscat
Google,Suman Ahmed,,good,5,Bank Muscat
Google,D K GIRI,,simple and good service,4,Bank Muscat
Google,Md Abubkr,,good,2,Bank Muscat
Google,Muhammad Sabir,,good job,5,Bank Muscat
Google,Rehmat Ullah Arshad,,Bad app need urgent modification,1,Bank Muscat
Google,Shojib Ahmmed,,good app,5,Bank Muscat
Google,Umar Mayo,,Good bank muscat app,5,Bank Muscat
Google,andurrazai baloch,,easiest bank in Oman and available every where in Oman also best for international use.,5,Bank Muscat
Google,Hassan Amir,,The best opinion if you travel to Oman,5,Bank Muscat
Google,Jasmin Rathod,,very good,5,Bank Muscat
Google,Badhon Vai,,good,4,Bank Muscat
Google,MONZURUL ALAM,,nice,5,Bank Muscat
Google,Namshid 4363,,very usefull,5,Bank Muscat
Google,Devi thina,,i nerd English why arabi,1,Bank Muscat
Google,Shamim Ahmed,,Very good,5,Bank Muscat
Google,John Berwin,,good 👍 service,5,Bank Muscat
Google,jinoy thomas,,"I'm facing an issue where the QR is not getting captured while scanning — the screen remains still and doesn’t proceed to payment. However, the same Bank Muscat app on iPhones works fine with the same QR. I tried on multiple Android devices with the Bank Muscat app, and none were able to scan successfully. Please note: I'm using the Bank Muscat QR scan and pay option daily without any issues for the past month. But since July the scan feature has stopped working on Android phones.",2,Bank Muscat
Google,আলোর পথে এসো,,Good app Service also good,5,Bank Muscat
Google,MUHAMMAD SAID,,really Good 😊👍,4,Bank Muscat
Google,Muhammad Qasim,,fantastic,5,Bank Muscat
Google,Tofayel Hossain,,Super service,5,Bank Muscat
Google,Ajzal 3245,,it's good and helpful,5,Bank Muscat
Google,sam,,بنك مسقط ممتاز جدا ومن البنوك الرائدة بس تمنيت لو نظام الدفع بالهاتف nfc يكون شامل لكل أنواع الهواتف التي تعمل بنظام nfc ولا يقتصر على بعض العلامات التجارية للهواتف المحمولة مثل سامسونج وابل فقط بل توجد علامات أخرى مثل هونر هواوي وغيرها الرجاء النظر في هذا الموضوع شكرا,3,Bank Muscat
Google,Nil giri,,Better Experience,5,Bank Muscat
Google,C R A S H,,متى تفعلوا google wallet؟,5,Bank Muscat
Google,Mustafa Mohammed,,Excellent,5,Bank Muscat
Google,Naimur Rahman,,Bank Muscat should accept request for credit card under 150 OMR . just for low earning people to get financial freedom,2,Bank Muscat
Google,Niraj Magar,,I think Bank Muscat also add Nepal for speed transfer because lot's of Nepali people come to Oman just for work so. If they put Nepal option then I'll do 5 star review.,2,Bank Muscat
Google,Nahedul alam,,"My mobile is running Android 11, it will not be updated, so even though the Bank Muscat app is downloaded, it does not open. Is there any solution so that I can use it?",2,Bank Muscat
Google,Rajabrabu M,,EXCELLENT,5,Bank Muscat
Google,Muhammad Afzal,,this is helpful for me.,5,Bank Muscat
Google,Malik Aleem,,very nice app,5,Bank Muscat
Google,KHALID MEHMOOD,,all application is good but I make one more suggestion for IT DEP THAT THEY SHOULD reduce time to add new beneficiary. it's took around 1 hour man need to think about it.,5,Bank Muscat
Google,Mohammed Salim,,Good app it is easy to use for everyone ❤️❤️,5,Bank Muscat
Google,Kussy Nation,,Good ♥️,5,Bank Muscat
Google,MD Naimul Karim,,wow,5,Bank Muscat
Google,Jayesh Thanki,,good service,5,Bank Muscat
Google,Tariq Al-Balushi,,😍😘,5,Bank Muscat
Google,Mohashin Sheikh,,Oman excellent service Bank Muscat,5,Bank Muscat
Google,Rathod Sandip,,it's nice and very easy app for using and sand money for everything it's fine,5,Bank Muscat
Google,Hridoy Bhuiya,,Very Good Service,5,Bank Muscat
Google,S. Harthy,,"They r ok in some areas, i just moved back my A/c after many years, i found them slow and complicated when opening a new A/c & cose they refused to open a current A/c unless your salary goes there, even if i didn't need a chq book now, but how can ur salary go there when u don't have an A/c, like Egg & Chicken story",3,Bank Muscat
Google,Taibah Wasif,,Good Job bank Muscat Good App,4,Bank Muscat
Google,Mundi Sunday Samuel,,easy to use,5,Bank Muscat
Google,Mahmoud Y. Ahmed,,"Urgent plz, regarding open Fixed Deposit account service, the Interset Instructions List of value has an issue and dose not contains months options for frequency !! .ex .. I try to open 12 month fixed deposit, and can not set the Interset Instructions to be monthly, or 3 months .. only re-investment entry is there .. Kindly check and help ASAP.",2,Bank Muscat
Google,Mohsin Riaz,,Good,5,Bank Muscat
Google,Ram Jangir,,very much comfortable and safe,5,Bank Muscat
Google,Saud Salim,,مشاكل في الدخول و اظهار تفاصيل الحساب كما ان البرنامج يغلق بعد دقيقة من الدخول!!,1,Bank Muscat
Google,MD RAKIB,,good app,5,Bank Muscat
Google,Amirjurr Amirjutt,,good work,5,Bank Muscat
Google,mehedi hasan,,it was great for us.easy to use and no more Extra problem. thank you muscat bank.,5,Bank Muscat
Google,KHAN Express খান এক্সপ্রেস,,"this app is good.I want this app to be upgraded to make it easier for international transfers, it would be good for the general public.",4,Bank Muscat
Google,Amr Hassan,,WORST mobile apps made by BM!,1,Bank Muscat
Google,Ahmed Dawood,,"I have a question not related to app, I'm wondering when Bank Muscat will enable Google Pay service?? currently only Sohar Bank the first one to offer this service.......",4,Bank Muscat
Google,Josue Emiel Ogoy,,"Why Almost 2 weeks fot trying, I can not sign up. 😥",1,Bank Muscat
Google,Badolo Safoura,,"very nice system, i appreciate it ❤️",5,Bank Muscat
Google,Heleen-Marie Viljoen,,"when it doesn't work it's terrible trying to register a new device. I made certain that I'm using the correct number, added extra data,airtime and sms's along with Roaming data... only for the otp message to continuesly fail.... on the older device the app won't allow me to access my card transfer limits to adjust it... when I want to make a transfer it only says you can't use an account with credit or debit card limits. what use are you if I can't use it",1,Bank Muscat
Google,Masum Talukder,,good,1,Bank Muscat
Google,Umar Faruk,,wonderful,5,Bank Muscat
Google,Sadiah Baloch,,it's only good for money transfer,2,Bank Muscat
Google,Mohamed Baloch,,best App yesy for use,2,Bank Muscat
Google,MD Minhaj,,good,5,Bank Muscat
Google,Ramjan Khan,,Bank muscat this mobile not install,5,Bank Muscat
Google,Kap Vhia,,Convenient and easy to use application also a very helpful customer service. Thank you team Bank Muscat,5,Bank Muscat
Google,Jahirul Islam Foyez,,good 👍,5,Bank Muscat
Google,Sohail aulakh,,goos warkimg,5,Bank Muscat
Google,David Vijay,,good,5,Bank Muscat
Google,Md Aladin,,nice,5,Bank Muscat
Google,Oman Ala fojiii,,very good,5,Bank Muscat
Google,viju jenif,,very good,5,Bank Muscat
Google,Maedeh Mohit,,it does not work with vpn,1,Bank Muscat
Google,Probal Bishwas,,"very good experience so far, hope for same good services till dacades.",5,Bank Muscat
Google,Kashmire Munda,,it's easy to used and very good app highly recommend bank muscat 👍,5,Bank Muscat
Google,Waqas Ahmed,,So good bank muscat,5,Bank Muscat
Google,Bilal Butt,,I am very happy for your agent service good bank muscat,5,Bank Muscat
Google,Vijayknair Kannur,,good serves,5,Bank Muscat
Google,Tishan Nethma,,good,5,Bank Muscat
Google,Saifal Maluk,,very pathetic it gives only few seconds to transfer payment otherwise timeout error n you have to re login. attempted many tries and it wasted my time. seems make transfer while going through many screen fast as much as possible which can lead you to make a mistake.,1,Bank Muscat
Google,Asim Hashmi,,Hi when I entered as new user they r asking me to contact customer I cannot able to get OTP to login,1,Bank Muscat
Google,Mudassir Alvi,,Nice and convenient easy to use,4,Bank Muscat
Google,Vishnu Navani,,good,5,Bank Muscat
Google,Mohsin Ahmed,,although it's a smoth app,4,Bank Muscat
Google,Saiful Islam,,good,5,Bank Muscat
Google,yasar pc,,It would have been better if cardless service had been included.,5,Bank Muscat
Google,owaish shaikh,,excellent,5,Bank Muscat
Google,Mohammed Rasik Thajudheen,,Please inform the customers regarding the updates .,5,Bank Muscat
Google,ANAND S S,,"Now your updation is very good, I enjoy it, I have a request, I have OnePlus mobile with NFC option, bank muscat NFC payments is now available Samsung mobiles and apple, could you please add all androids,it's better to use us. Thank you",4,Bank Muscat
Google,Syed Zakir,,Why not open this app,5,Bank Muscat
Google,shihab otp,,goog,5,Bank Muscat
Google,Circle it,,easy to use,5,Bank Muscat
Google,YOUSUF ALKHANJARI,,add tap to pay by Google soo we can use Google wallet easy,4,Bank Muscat
Google,Arafat Hossen,,good sarvis,5,Bank Muscat
